2023-03-03 00:25:10.055 - sdk-generator - INFO  --- [restartedMain] com.saidake.generator.GeneratorApp - The following profiles are active: dev
2023-03-03 00:25:10.920 - sdk-generator - INFO  --- [restartedMain] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-03-03 00:25:10.922 - sdk-generator - INFO  --- [restartedMain] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-03-03 00:25:10.939 - sdk-generator - INFO  --- [restartedMain] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2023-03-03 00:25:11.208 - sdk-generator - INFO  --- [restartedMain] o.springframework.cloud.context.scope.GenericScope - BeanFactory id=3ba93b6e-4726-38e7-a49b-673f8898b741
2023-03-03 00:25:11.698 - sdk-generator - INFO  --- [restartedMain] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 48123 (http)
2023-03-03 00:25:11.703 - sdk-generator - INFO  --- [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-48123"]
2023-03-03 00:25:11.704 - sdk-generator - INFO  --- [restartedMain] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-03 00:25:11.704 - sdk-generator - INFO  --- [restartedMain] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-03-03 00:25:11.778 - sdk-generator - INFO  --- [restartedMain] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-03 00:25:11.778 - sdk-generator - INFO  --- [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1709 ms
2023-03-03 00:25:14.049 - sdk-generator - INFO  --- [restartedMain] o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-03-03 00:25:14.251 - sdk-generator - INFO  --- [restartedMain] o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-03 00:25:16.307 - sdk-generator - INFO  --- [restartedMain] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2023-03-03 00:25:16.369 - sdk-generator - WARN  --- [restartedMain] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-03-03 00:25:16.409 - sdk-generator - INFO  --- [restartedMain] o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2023-03-03 00:25:16.436 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2023-03-03 00:25:16.440 - sdk-generator - INFO  --- [restartedMain] c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2023-03-03 00:25:16.457 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Disable delta property : false
2023-03-03 00:25:16.457 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2023-03-03 00:25:16.457 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2023-03-03 00:25:16.457 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Application is null : false
2023-03-03 00:25:16.457 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2023-03-03 00:25:16.457 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Application version is -1: true
2023-03-03 00:25:16.457 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2023-03-03 00:25:17.864 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - The response status is 200
2023-03-03 00:25:17.866 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2023-03-03 00:25:17.868 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2023-03-03 00:25:17.872 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1677774317871 with initial instances count: 0
2023-03-03 00:25:17.875 - sdk-generator - INFO  --- [restartedMain] o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application SDK-GENERATOR with eureka with status UP
2023-03-03 00:25:17.875 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1677774317875, current=UP, previous=STARTING]
2023-03-03 00:25:17.878 - sdk-generator - INFO  --- [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-48123"]
2023-03-03 00:25:17.878 - sdk-generator - INFO  --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_SDK-GENERATOR/windows10.microdone.cn:sdk-generator:48123: registering service...
2023-03-03 00:25:17.895 - sdk-generator - INFO  --- [restartedMain] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 48123 (http) with context path ''
2023-03-03 00:25:17.895 - sdk-generator - INFO  --- [restartedMain] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 48123
2023-03-03 00:25:17.984 - sdk-generator - INFO  --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient - DiscoveryClient_SDK-GENERATOR/windows10.microdone.cn:sdk-generator:48123 - registration status: 204
2023-03-03 00:25:19.529 - sdk-generator - INFO  --- [restartedMain] com.saidake.generator.GeneratorApp - Started GeneratorApp in 13.569 seconds (JVM running for 15.33)
2023-03-03 00:25:34.513 - sdk-generator - INFO  --- [http-nio-48123-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-03 00:25:34.513 - sdk-generator - INFO  --- [http-nio-48123-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-03 00:25:34.515 - sdk-generator - INFO  --- [http-nio-48123-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-03-03 00:25:47.876 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - Disable delta property : false
2023-03-03 00:25:47.876 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2023-03-03 00:25:47.877 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2023-03-03 00:25:47.877 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - Application is null : false
2023-03-03 00:25:47.877 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2023-03-03 00:25:47.877 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - Application version is -1: false
2023-03-03 00:25:47.877 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2023-03-03 00:25:47.898 - sdk-generator - INFO  --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient - The response status is 200
2023-03-03 00:26:10.111 - sdk-generator - INFO  --- [restartedMain] com.saidake.generator.GeneratorApp - The following profiles are active: dev
2023-03-03 00:26:11.014 - sdk-generator - INFO  --- [restartedMain] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-03-03 00:26:11.016 - sdk-generator - INFO  --- [restartedMain] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-03-03 00:26:11.033 - sdk-generator - INFO  --- [restartedMain] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2023-03-03 00:26:11.322 - sdk-generator - INFO  --- [restartedMain] o.springframework.cloud.context.scope.GenericScope - BeanFactory id=3ba93b6e-4726-38e7-a49b-673f8898b741
2023-03-03 00:26:11.831 - sdk-generator - INFO  --- [restartedMain] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 48123 (http)
2023-03-03 00:26:11.838 - sdk-generator - INFO  --- [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-48123"]
2023-03-03 00:26:11.839 - sdk-generator - INFO  --- [restartedMain] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-03-03 00:26:11.839 - sdk-generator - INFO  --- [restartedMain] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-03-03 00:26:11.927 - sdk-generator - INFO  --- [restartedMain] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-03 00:26:11.928 - sdk-generator - INFO  --- [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1802 ms
2023-03-03 00:26:14.199 - sdk-generator - INFO  --- [restartedMain] o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-03-03 00:26:14.396 - sdk-generator - INFO  --- [restartedMain] o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-03 00:26:16.445 - sdk-generator - INFO  --- [restartedMain] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2023-03-03 00:26:16.507 - sdk-generator - WARN  --- [restartedMain] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-03-03 00:26:16.550 - sdk-generator - INFO  --- [restartedMain] o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2023-03-03 00:26:16.578 - sdk-generator - INFO  --- [restartedMain] com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
