2022-05-23 00:21:38.903 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - The following profiles are active: bluetooth-app
2022-05-23 00:21:39.606 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-23 00:21:39.609 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-23 00:21:39.649 - sdk-generator - INFO  --- [main] o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2022-05-23 00:21:39.846 - sdk-generator - INFO  --- [main] o.springframework.cloud.context.scope.GenericScope - BeanFactory id=994d7b6e-ae48-30ed-a5b8-3e8ac8bc426a
2022-05-23 00:21:40.078 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 48123 (http)
2022-05-23 00:21:40.084 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-23 00:21:40.084 - sdk-generator - INFO  --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-05-23 00:21:40.167 - sdk-generator - INFO  --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-23 00:21:40.167 - sdk-generator - INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1249 ms
2022-05-23 00:21:42.595 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 00:21:43.337 - sdk-generator - INFO  --- [main] s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-23 00:21:43.343 - sdk-generator - INFO  --- [main] c.saidake.common.swagger2.SwaggerAutoConfiguration - sdk.swagger.enabled start check
2022-05-23 00:21:45.482 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 00:21:45.506 - sdk-generator - WARN  --- [main] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-23 00:21:45.665 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 48123 (http) with context path ''
2022-05-23 00:21:45.673 - sdk-generator - INFO  --- [main] c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sdk-generator 192.168.22.1:48123 register finished
2022-05-23 00:21:47.534 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 00:21:47.534 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-23 00:21:47.550 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-23 00:21:47.574 - sdk-generator - INFO  --- [main] s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-23 00:21:47.640 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - Started GeneratorApp in 13.379 seconds (JVM running for 14.525)
2022-05-23 00:21:47.643 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建父文件夹成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\common\tUser
